Voltage U1	Corriente IA	Voltage U2	Voltage U3	Voltage UH
U1/V	IA/nA	U2/V	U3/V	UH/V

0,02	0,22	4,5	6,0	5,5
0,04	0,20	4,5	6,0	5,5
0,07	0,19	4,5	6,0	5,5
0,09	0,19	4,5	6,0	5,5
0,12	0,19	4,5	6,0	5,5
0,14	0,18	4,5	6,0	5,5
0,17	0,16	4,5	6,0	5,5
0,19	0,16	4,5	6,0	5,5
0,21	0,15	4,5	6,0	5,5
0,24	0,14	4,5	6,0	5,5
0,26	0,14	4,5	6,0	5,5
0,29	0,14	4,5	6,0	5,5
0,31	0,13	4,5	6,0	5,5
0,34	0,13	4,5	6,0	5,5
0,36	0,15	4,5	6,0	5,5
0,39	0,15	4,5	6,0	5,5
0,41	0,14	4,5	6,0	5,5
0,43	0,16	4,5	6,0	5,5
0,46	0,18	4,5	6,0	5,5
0,48	0,17	4,5	6,0	5,5
0,51	0,16	4,5	6,0	5,5
0,53	0,18	4,5	6,0	5,5
0,56	0,19	4,5	6,0	5,5
0,58	0,19	4,5	6,0	5,5
0,61	0,20	4,5	6,0	5,5
0,63	0,23	4,5	6,0	5,5
0,65	0,23	4,5	6,0	5,5
0,68	0,24	4,5	6,0	5,5
0,70	0,27	4,5	6,0	5,5
0,73	0,30	4,5	6,0	5,5
0,75	0,30	4,5	6,0	5,5
0,78	0,33	4,5	6,0	5,5
0,80	0,36	4,5	6,0	5,5
0,83	0,37	4,5	6,0	5,5
0,85	0,39	4,5	6,0	5,5
0,87	0,42	4,5	6,0	5,5
0,90	0,45	4,5	6,0	5,5
0,92	0,45	4,5	6,0	5,5
0,95	0,47	4,5	6,0	5,5
0,97	0,51	4,5	6,0	5,5
1,00	0,51	4,5	6,0	5,5
1,02	0,52	4,5	6,0	5,5
1,05	0,56	4,5	6,0	5,5
1,07	0,59	4,5	6,0	5,5
1,09	0,59	4,5	6,0	5,5
1,12	0,62	4,5	6,0	5,5
1,14	0,66	4,5	6,0	5,5
1,17	0,67	4,5	6,0	5,5
1,19	0,67	4,5	6,0	5,5
1,22	0,71	4,5	6,0	5,5
1,24	0,73	4,5	6,0	5,5
1,26	0,73	4,5	6,0	5,5
1,29	0,75	4,5	6,0	5,5
1,31	0,78	4,5	6,0	5,5
1,34	0,79	4,5	6,0	5,5
1,36	0,79	4,5	6,0	5,5
1,39	0,81	4,5	6,0	5,5
1,41	0,84	4,5	6,0	5,5
1,44	0,84	4,5	6,0	5,5
1,46	0,85	4,5	6,0	5,5
1,48	0,89	4,5	6,0	5,5
1,51	0,89	4,5	6,0	5,5
1,53	0,89	4,5	6,0	5,5
1,56	0,93	4,5	6,0	5,5
1,58	0,96	4,5	6,0	5,5
1,61	0,95	4,5	6,0	5,5
1,63	0,95	4,5	6,0	5,5
1,66	0,99	4,5	6,0	5,5
1,68	1,00	4,5	6,0	5,5
1,70	0,99	4,5	6,0	5,5
1,73	1,03	4,5	6,0	5,5
1,75	1,05	4,5	6,0	5,5
1,78	1,05	4,5	6,0	5,5
1,80	1,04	4,5	6,0	5,5
1,83	1,08	4,5	6,0	5,5
1,85	1,09	4,5	6,0	5,5
1,88	1,08	4,5	6,0	5,5
1,90	1,10	4,5	6,0	5,5
1,92	1,14	4,5	6,0	5,5
1,95	1,13	4,5	6,0	5,5
1,97	1,13	4,5	6,0	5,5
2,00	1,16	4,5	6,0	5,5
2,02	1,19	4,5	6,0	5,5
2,05	1,17	4,5	6,0	5,5
2,07	1,19	4,5	6,0	5,5
2,10	1,21	4,5	6,0	5,5
2,12	1,22	4,5	6,0	5,5
2,14	1,21	4,5	6,0	5,5
2,17	1,25	4,5	6,0	5,5
2,19	1,27	4,5	6,0	5,5
2,22	1,26	4,5	6,0	5,5
2,24	1,27	4,5	6,0	5,5
2,27	1,30	4,5	6,0	5,5
2,29	1,30	4,5	6,0	5,5
2,31	1,30	4,5	6,0	5,5
2,34	1,32	4,5	6,0	5,5
2,36	1,35	4,5	6,0	5,5
2,39	1,34	4,5	6,0	5,5
2,41	1,35	4,5	6,0	5,5
2,44	1,38	4,5	6,0	5,5
2,46	1,39	4,5	6,0	5,5
2,49	1,38	4,5	6,0	5,5
2,51	1,40	4,5	6,0	5,5
2,53	1,43	4,5	6,0	5,5
2,56	1,42	4,5	6,0	5,5
2,58	1,42	4,5	6,0	5,5
2,61	1,46	4,5	6,0	5,5
2,63	1,46	4,5	6,0	5,5
2,66	1,46	4,5	6,0	5,5
2,68	1,47	4,5	6,0	5,5
2,71	1,51	4,5	6,0	5,5
2,73	1,49	4,5	6,0	5,5
2,75	1,49	4,5	6,0	5,5
2,78	1,52	4,5	6,0	5,5
2,80	1,53	4,5	6,0	5,5
2,83	1,53	4,5	6,0	5,5
2,85	1,55	4,5	6,0	5,5
2,88	1,57	4,5	6,0	5,5
2,90	1,57	4,5	6,0	5,5
2,93	1,56	4,5	6,0	5,5
2,95	1,59	4,5	6,0	5,5
2,97	1,60	4,5	6,0	5,5
3,00	1,60	4,5	6,0	5,5
3,02	1,61	4,5	6,0	5,5
3,05	1,64	4,5	6,0	5,5
3,07	1,63	4,5	6,0	5,5
3,10	1,63	4,5	6,0	5,5
3,12	1,66	4,5	6,0	5,5
3,15	1,67	4,5	6,0	5,5
3,17	1,66	4,5	6,0	5,5
3,19	1,67	4,5	6,0	5,5
3,22	1,70	4,5	6,0	5,5
3,24	1,71	4,5	6,0	5,5
3,27	1,70	4,5	6,0	5,5
3,29	1,73	4,5	6,0	5,5
3,32	1,75	4,5	6,0	5,5
3,34	1,74	4,5	6,0	5,5
3,36	1,74	4,5	6,0	5,5
3,39	1,77	4,5	6,0	5,5
3,41	1,78	4,5	6,0	5,5
3,44	1,77	4,5	6,0	5,5
3,46	1,79	4,5	6,0	5,5
3,49	1,81	4,5	6,0	5,5
3,51	1,80	4,5	6,0	5,5
3,54	1,80	4,5	6,0	5,5
3,56	1,83	4,5	6,0	5,5
3,58	1,84	4,5	6,0	5,5
3,61	1,83	4,5	6,0	5,5
3,63	1,86	4,5	6,0	5,5
3,66	1,88	4,5	6,0	5,5
3,68	1,88	4,5	6,0	5,5
3,71	1,88	4,5	6,0	5,5
3,73	1,91	4,5	6,0	5,5
3,76	1,92	4,5	6,0	5,5
3,78	1,91	4,5	6,0	5,5
3,80	1,92	4,5	6,0	5,5
3,83	1,94	4,5	6,0	5,5
3,85	1,93	4,5	6,0	5,5
3,88	1,93	4,5	6,0	5,5
3,90	1,95	4,5	6,0	5,5
3,93	1,97	4,5	6,0	5,5
3,95	1,95	4,5	6,0	5,5
3,98	1,97	4,5	6,0	5,5
4,00	1,99	4,5	6,0	5,5
4,02	2,00	4,5	6,0	5,5
4,05	1,99	4,5	6,0	5,5
4,07	2,02	4,5	6,0	5,5
4,10	2,04	4,5	6,0	5,5
4,12	2,02	4,5	6,0	5,5
4,15	2,03	4,5	6,0	5,5
4,17	2,06	4,5	6,0	5,5
4,20	2,05	4,5	6,0	5,5
4,22	2,04	4,5	6,0	5,5
4,24	2,06	4,5	6,0	5,5
4,27	2,08	4,5	6,0	5,5
4,29	2,06	4,5	6,0	5,5
4,32	2,07	4,5	6,0	5,5
4,34	2,09	4,5	6,0	5,5
4,37	2,10	4,5	6,0	5,5
4,39	2,10	4,5	6,0	5,5
4,42	2,12	4,5	6,0	5,5
4,44	2,14	4,5	6,0	5,5
4,46	2,13	4,5	6,0	5,5
4,49	2,13	4,5	6,0	5,5
4,51	2,16	4,5	6,0	5,5
4,54	2,16	4,5	6,0	5,5
4,56	2,15	4,5	6,0	5,5
4,59	2,17	4,5	6,0	5,5
4,61	2,18	4,5	6,0	5,5
4,63	2,17	4,5	6,0	5,5
4,66	2,16	4,5	6,0	5,5
4,68	2,19	4,5	6,0	5,5
4,71	2,20	4,5	6,0	5,5
4,73	2,19	4,5	6,0	5,5
4,76	2,21	4,5	6,0	5,5
4,78	2,24	4,5	6,0	5,5
4,81	2,23	4,5	6,0	5,5
4,83	2,22	4,5	6,0	5,5
4,85	2,25	4,5	6,0	5,5
4,88	2,27	4,5	6,0	5,5
4,90	2,25	4,5	6,0	5,5
4,93	2,25	4,5	6,0	5,5
4,95	2,28	4,5	6,0	5,5
4,98	2,28	4,5	6,0	5,5
5,00	2,26	4,5	6,0	5,5
5,03	2,29	4,5	6,0	5,5
5,05	2,30	4,5	6,0	5,5
5,07	2,29	4,5	6,0	5,5
5,10	2,29	4,5	6,0	5,5
5,12	2,32	4,5	6,0	5,5
5,15	2,32	4,5	6,0	5,5
5,17	2,32	4,5	6,0	5,5
5,20	2,34	4,5	6,0	5,5
5,22	2,36	4,5	6,0	5,5
5,25	2,34	4,5	6,0	5,5
5,27	2,35	4,5	6,0	5,5
5,29	2,38	4,5	6,0	5,5
5,32	2,38	4,5	6,0	5,5
5,34	2,37	4,5	6,0	5,5
5,37	2,39	4,5	6,0	5,5
5,39	2,40	4,5	6,0	5,5
5,42	2,40	4,5	6,0	5,5
5,44	2,39	4,5	6,0	5,5
5,47	2,43	4,5	6,0	5,5
5,49	2,43	4,5	6,0	5,5
5,51	2,41	4,5	6,0	5,5
5,54	2,43	4,5	6,0	5,5
5,56	2,45	4,5	6,0	5,5
5,59	2,44	4,5	6,0	5,5
5,61	2,44	4,5	6,0	5,5
5,64	2,47	4,5	6,0	5,5
5,66	2,49	4,5	6,0	5,5
5,68	2,47	4,5	6,0	5,5
5,71	2,49	4,5	6,0	5,5
5,73	2,51	4,5	6,0	5,5
5,76	2,51	4,5	6,0	5,5
5,78	2,50	4,5	6,0	5,5
5,81	2,52	4,5	6,0	5,5
5,83	2,54	4,5	6,0	5,5
5,86	2,52	4,5	6,0	5,5
5,88	2,53	4,5	6,0	5,5
5,90	2,55	4,5	6,0	5,5
5,93	2,55	4,5	6,0	5,5
5,95	2,54	4,5	6,0	5,5
5,98	2,56	4,5	6,0	5,5
6,00	2,58	4,5	6,0	5,5
6,03	2,55	4,5	6,0	5,5
6,05	2,57	4,5	6,0	5,5
6,08	2,60	4,5	6,0	5,5
6,10	2,60	4,5	6,0	5,5
6,12	2,59	4,5	6,0	5,5
6,15	2,62	4,5	6,0	5,5
6,17	2,63	4,5	6,0	5,5
6,20	2,62	4,5	6,0	5,5
6,22	2,62	4,5	6,0	5,5
6,25	2,65	4,5	6,0	5,5
6,27	2,64	4,5	6,0	5,5
6,30	2,63	4,5	6,0	5,5
6,32	2,64	4,5	6,0	5,5
6,34	2,67	4,5	6,0	5,5
6,37	2,65	4,5	6,0	5,5
6,39	2,65	4,5	6,0	5,5
6,42	2,68	4,5	6,0	5,5
6,44	2,69	4,5	6,0	5,5
