Voltage U1	Corriente IA	Voltage U2	Voltage U3	Voltage UH
U1/V	IA/nA	U2/V	U3/V	UH/V

0,02	0,22	4,5	6,0	5,0
0,04	0,21	4,5	6,0	5,0
0,07	0,21	4,5	6,0	5,0
0,09	0,19	4,5	6,0	5,0
0,12	0,18	4,5	6,0	5,0
0,14	0,17	4,5	6,0	5,0
0,17	0,17	4,5	6,0	5,0
0,19	0,16	4,5	6,0	5,0
0,21	0,15	4,5	6,0	5,0
0,24	0,14	4,5	6,0	5,0
0,26	0,14	4,5	6,0	5,0
0,29	0,12	4,5	6,0	5,0
0,31	0,11	4,5	6,0	5,0
0,34	0,11	4,5	6,0	5,0
0,36	0,11	4,5	6,0	5,0
0,39	0,11	4,5	6,0	5,0
0,41	0,11	4,5	6,0	5,0
0,43	0,11	4,5	6,0	5,0
0,46	0,11	4,5	6,0	5,0
0,48	0,11	4,5	6,0	5,0
0,51	0,11	4,5	6,0	5,0
0,53	0,11	4,5	6,0	5,0
0,56	0,11	4,5	6,0	5,0
0,58	0,10	4,5	6,0	5,0
0,61	0,10	4,5	6,0	5,0
0,63	0,10	4,5	6,0	5,0
0,65	0,11	4,5	6,0	5,0
0,68	0,11	4,5	6,0	5,0
0,70	0,11	4,5	6,0	5,0
0,73	0,11	4,5	6,0	5,0
0,75	0,12	4,5	6,0	5,0
0,78	0,11	4,5	6,0	5,0
0,80	0,11	4,5	6,0	5,0
0,83	0,12	4,5	6,0	5,0
0,85	0,12	4,5	6,0	5,0
0,87	0,12	4,5	6,0	5,0
0,90	0,12	4,5	6,0	5,0
0,92	0,13	4,5	6,0	5,0
0,95	0,13	4,5	6,0	5,0
0,97	0,12	4,5	6,0	5,0
1,00	0,12	4,5	6,0	5,0
1,02	0,12	4,5	6,0	5,0
1,05	0,13	4,5	6,0	5,0
1,07	0,13	4,5	6,0	5,0
1,09	0,14	4,5	6,0	5,0
1,12	0,14	4,5	6,0	5,0
1,14	0,14	4,5	6,0	5,0
1,17	0,14	4,5	6,0	5,0
1,19	0,14	4,5	6,0	5,0
1,22	0,14	4,5	6,0	5,0
1,24	0,14	4,5	6,0	5,0
1,26	0,15	4,5	6,0	5,0
1,29	0,15	4,5	6,0	5,0
1,31	0,15	4,5	6,0	5,0
1,34	0,15	4,5	6,0	5,0
1,36	0,15	4,5	6,0	5,0
1,39	0,15	4,5	6,0	5,0
1,41	0,15	4,5	6,0	5,0
1,44	0,15	4,5	6,0	5,0
1,46	0,15	4,5	6,0	5,0
1,48	0,15	4,5	6,0	5,0
1,51	0,15	4,5	6,0	5,0
1,53	0,16	4,5	6,0	5,0
1,56	0,15	4,5	6,0	5,0
1,58	0,15	4,5	6,0	5,0
1,61	0,15	4,5	6,0	5,0
1,63	0,16	4,5	6,0	5,0
1,66	0,16	4,5	6,0	5,0
1,68	0,16	4,5	6,0	5,0
1,70	0,16	4,5	6,0	5,0
1,73	0,15	4,5	6,0	5,0
1,75	0,15	4,5	6,0	5,0
1,78	0,16	4,5	6,0	5,0
1,80	0,16	4,5	6,0	5,0
1,83	0,15	4,5	6,0	5,0
1,85	0,15	4,5	6,0	5,0
1,88	0,15	4,5	6,0	5,0
1,90	0,15	4,5	6,0	5,0
1,92	0,15	4,5	6,0	5,0
1,95	0,15	4,5	6,0	5,0
1,97	0,16	4,5	6,0	5,0
2,00	0,15	4,5	6,0	5,0
2,02	0,15	4,5	6,0	5,0
2,05	0,16	4,5	6,0	5,0
2,07	0,16	4,5	6,0	5,0
2,10	0,17	4,5	6,0	5,0
2,12	0,17	4,5	6,0	5,0
2,14	0,17	4,5	6,0	5,0
2,17	0,17	4,5	6,0	5,0
2,19	0,17	4,5	6,0	5,0
2,22	0,17	4,5	6,0	5,0
2,24	0,17	4,5	6,0	5,0
2,27	0,17	4,5	6,0	5,0
2,29	0,17	4,5	6,0	5,0
2,31	0,17	4,5	6,0	5,0
2,34	0,18	4,5	6,0	5,0
2,36	0,18	4,5	6,0	5,0
2,39	0,19	4,5	6,0	5,0
2,41	0,19	4,5	6,0	5,0
2,44	0,19	4,5	6,0	5,0
2,46	0,19	4,5	6,0	5,0
2,49	0,20	4,5	6,0	5,0
2,51	0,20	4,5	6,0	5,0
2,53	0,20	4,5	6,0	5,0
2,56	0,19	4,5	6,0	5,0
2,58	0,20	4,5	6,0	5,0
2,61	0,19	4,5	6,0	5,0
2,63	0,19	4,5	6,0	5,0
2,66	0,20	4,5	6,0	5,0
2,68	0,20	4,5	6,0	5,0
2,71	0,19	4,5	6,0	5,0
2,73	0,19	4,5	6,0	5,0
2,75	0,19	4,5	6,0	5,0
2,78	0,21	4,5	6,0	5,0
2,80	0,21	4,5	6,0	5,0
2,83	0,22	4,5	6,0	5,0
2,85	0,22	4,5	6,0	5,0
2,88	0,21	4,5	6,0	5,0
2,90	0,21	4,5	6,0	5,0
2,93	0,21	4,5	6,0	5,0
2,95	0,21	4,5	6,0	5,0
2,97	0,21	4,5	6,0	5,0
3,00	0,20	4,5	6,0	5,0
3,02	0,20	4,5	6,0	5,0
3,05	0,20	4,5	6,0	5,0
3,07	0,20	4,5	6,0	5,0
3,10	0,21	4,5	6,0	5,0
3,12	0,20	4,5	6,0	5,0
3,15	0,20	4,5	6,0	5,0
3,17	0,21	4,5	6,0	5,0
3,19	0,21	4,5	6,0	5,0
3,22	0,22	4,5	6,0	5,0
3,24	0,22	4,5	6,0	5,0
3,27	0,22	4,5	6,0	5,0
3,29	0,21	4,5	6,0	5,0
3,32	0,21	4,5	6,0	5,0
3,34	0,22	4,5	6,0	5,0
3,36	0,22	4,5	6,0	5,0
3,39	0,21	4,5	6,0	5,0
3,41	0,21	4,5	6,0	5,0
3,44	0,20	4,5	6,0	5,0
3,46	0,21	4,5	6,0	5,0
3,49	0,21	4,5	6,0	5,0
3,51	0,22	4,5	6,0	5,0
3,54	0,22	4,5	6,0	5,0
3,56	0,21	4,5	6,0	5,0
3,58	0,21	4,5	6,0	5,0
3,61	0,22	4,5	6,0	5,0
3,63	0,22	4,5	6,0	5,0
3,66	0,23	4,5	6,0	5,0
3,68	0,23	4,5	6,0	5,0
3,71	0,23	4,5	6,0	5,0
3,73	0,22	4,5	6,0	5,0
3,76	0,22	4,5	6,0	5,0
3,78	0,23	4,5	6,0	5,0
3,80	0,23	4,5	6,0	5,0
3,83	0,23	4,5	6,0	5,0
3,85	0,23	4,5	6,0	5,0
3,88	0,23	4,5	6,0	5,0
3,90	0,23	4,5	6,0	5,0
3,93	0,23	4,5	6,0	5,0
3,95	0,24	4,5	6,0	5,0
3,98	0,24	4,5	6,0	5,0
4,00	0,24	4,5	6,0	5,0
4,02	0,24	4,5	6,0	5,0
4,05	0,25	4,5	6,0	5,0
4,07	0,25	4,5	6,0	5,0
4,10	0,25	4,5	6,0	5,0
4,12	0,25	4,5	6,0	5,0
4,15	0,25	4,5	6,0	5,0
4,17	0,24	4,5	6,0	5,0
4,20	0,24	4,5	6,0	5,0
4,22	0,25	4,5	6,0	5,0
4,24	0,25	4,5	6,0	5,0
4,27	0,25	4,5	6,0	5,0
4,29	0,24	4,5	6,0	5,0
4,32	0,24	4,5	6,0	5,0
4,34	0,25	4,5	6,0	5,0
4,37	0,25	4,5	6,0	5,0
4,39	0,26	4,5	6,0	5,0
4,42	0,26	4,5	6,0	5,0
4,44	0,25	4,5	6,0	5,0
4,46	0,26	4,5	6,0	5,0
4,49	0,25	4,5	6,0	5,0
4,51	0,26	4,5	6,0	5,0
4,54	0,26	4,5	6,0	5,0
4,56	0,26	4,5	6,0	5,0
4,59	0,25	4,5	6,0	5,0
4,61	0,25	4,5	6,0	5,0
4,63	0,26	4,5	6,0	5,0
4,66	0,26	4,5	6,0	5,0
4,68	0,25	4,5	6,0	5,0
4,71	0,25	4,5	6,0	5,0
4,73	0,25	4,5	6,0	5,0
4,76	0,25	4,5	6,0	5,0
4,78	0,26	4,5	6,0	5,0
4,81	0,27	4,5	6,0	5,0
4,83	0,27	4,5	6,0	5,0
4,85	0,26	4,5	6,0	5,0
4,88	0,26	4,5	6,0	5,0
4,90	0,27	4,5	6,0	5,0
4,93	0,27	4,5	6,0	5,0
4,95	0,27	4,5	6,0	5,0
4,98	0,27	4,5	6,0	5,0
5,00	0,27	4,5	6,0	5,0
5,03	0,26	4,5	6,0	5,0
5,05	0,26	4,5	6,0	5,0
5,07	0,27	4,5	6,0	5,0
5,10	0,28	4,5	6,0	5,0
5,12	0,27	4,5	6,0	5,0
5,15	0,27	4,5	6,0	5,0
5,17	0,26	4,5	6,0	5,0
5,20	0,27	4,5	6,0	5,0
5,22	0,27	4,5	6,0	5,0
5,25	0,27	4,5	6,0	5,0
5,27	0,28	4,5	6,0	5,0
5,29	0,27	4,5	6,0	5,0
5,32	0,27	4,5	6,0	5,0
5,34	0,28	4,5	6,0	5,0
5,37	0,28	4,5	6,0	5,0
5,39	0,29	4,5	6,0	5,0
5,42	0,28	4,5	6,0	5,0
5,44	0,28	4,5	6,0	5,0
5,47	0,27	4,5	6,0	5,0
5,49	0,28	4,5	6,0	5,0
5,51	0,29	4,5	6,0	5,0
5,54	0,29	4,5	6,0	5,0
5,56	0,28	4,5	6,0	5,0
5,59	0,28	4,5	6,0	5,0
5,61	0,28	4,5	6,0	5,0
5,64	0,29	4,5	6,0	5,0
5,66	0,30	4,5	6,0	5,0
5,68	0,31	4,5	6,0	5,0
5,71	0,31	4,5	6,0	5,0
5,73	0,31	4,5	6,0	5,0
5,76	0,30	4,5	6,0	5,0
5,78	0,31	4,5	6,0	5,0
5,81	0,31	4,5	6,0	5,0
5,83	0,31	4,5	6,0	5,0
5,86	0,31	4,5	6,0	5,0
5,88	0,31	4,5	6,0	5,0
5,90	0,30	4,5	6,0	5,0
5,93	0,30	4,5	6,0	5,0
5,95	0,31	4,5	6,0	5,0
5,98	0,31	4,5	6,0	5,0
6,00	0,30	4,5	6,0	5,0
6,03	0,31	4,5	6,0	5,0
6,05	0,31	4,5	6,0	5,0
6,08	0,33	4,5	6,0	5,0
6,10	0,33	4,5	6,0	5,0
6,12	0,33	4,5	6,0	5,0
6,15	0,32	4,5	6,0	5,0
6,17	0,32	4,5	6,0	5,0
6,20	0,33	4,5	6,0	5,0
6,22	0,33	4,5	6,0	5,0
6,25	0,32	4,5	6,0	5,0
6,27	0,32	4,5	6,0	5,0
6,30	0,31	4,5	6,0	5,0
6,32	0,31	4,5	6,0	5,0
6,34	0,31	4,5	6,0	5,0
6,37	0,32	4,5	6,0	5,0
6,39	0,32	4,5	6,0	5,0
6,42	0,31	4,5	6,0	5,0
6,44	0,32	4,5	6,0	5,0
