Begin Header
Date,01/03/2002 2:28:00
X-Label,Nanometers
Y-Label,Arbitrary
NumPoints,763
StartValue,300
EndValue,750
Steps,0,5
GaussFilter,0
NoiseFilter,True
AmplCorrection,True
DarkCorrection,True
AddCycles,1
Iterations,1
AutoExposure,False
MaxCycleTime,10
ExposureTime,1000
CoolerFilter,False
CoolerTemp,295,4
End Header
nm,Value
300,-0.0004092
300.5,0.01412
301.1,0.001233
301.7,-0.001015
302.3,0.001994
302.8,0.003625
303.4,0.004087
304,0.002846
304.6,0.002202
305.1,-0.003326
305.7,0.001736
306.3,-0.00222
306.9,0.001468
307.5,-0.0008728
308,0.00195
308.6,0.00243
309.2,-0.0006258
309.8,-0.0002919
310.3,0.0007746
310.9,0.0002394
311.5,-0.002206
312.1,0.002061
312.6,0.002894
313.2,0.001021
313.8,0.002429
314.4,0.002697
315,0.0005838
315.6,0.002596
316.2,0.005493
316.7,0.001054
317.3,0.0116
317.9,0.1853
318.5,0.3263
319.1,0.05318
319.7,0.0112
320.3,0.00567
320.8,0.006591
321.4,0.0002547
322,-0.0004741
322.6,0.001391
323.2,0.004848
323.8,0.003074
324.4,0.004274
324.9,0.003059
325.5,0.004127
326.1,0.004028
326.7,0.004187
327.3,0.004548
327.9,0.002912
328.5,0.002934
329,0.002294
329.6,0.004917
330.2,0.004404
330.8,0.001943
331.4,0.0001202
332,0.001472
332.6,0.001375
333.1,0.001711
333.7,0.003222
334.3,0.003163
334.9,0.003111
335.5,0.003706
336.1,0.005703
336.7,0.008211
337.3,0.00622
337.8,0.005715
338.4,0.004023
339,0.00386
339.6,0.003142
340.2,0.001948
340.8,0.0002881
341.4,0.003096
341.9,0.003883
342.5,0.0002184
343.1,0.002889
343.7,0.003415
344.3,0.004498
344.9,0.006591
345.5,0.007387
346,-0.000124
346.6,0.002038
347.2,0.00356
347.8,0.001967
348.4,0.003204
349,0.005027
349.6,0.001897
350.1,0.003254
350.7,0.004104
351.3,0.002143
351.9,-0.0002862
352.5,0.004001
353.1,0.003306
353.7,0.00195
354.2,0.0003978
354.8,0.002287
355.4,0.002154
356,0.003219
356.6,0.004195
357.2,0.0006086
357.8,0.004057
358.4,0.004603
358.9,0.0057
359.5,0.004749
360.1,0.004851
360.7,0.01493
361.3,0.01936
361.9,0.0009406
362.5,0.003294
363,0.005912
363.6,0.004824
364.2,0.005201
364.8,0.00549
365.4,0.004772
366,0.003884
366.6,0.003239
367.2,0.002672
367.7,0.00259
368.3,0.003042
368.9,0.003153
369.5,0.004356
370.1,0.01847
370.7,0.01677
371.3,0.005117
371.9,0.003495
372.4,0.005405
373,0.008588
373.6,0.008833
374.2,0.008998
374.8,0.007144
375.4,0.007178
376,0.005515
376.6,0.006809
377.2,0.00556
377.7,0.006555
378.3,0.007382
378.9,0.007097
379.5,0.007592
380.1,0.008586
380.7,0.01082
381.3,0.02757
381.9,0.06402
382.5,0.02233
383,0.01401
383.6,0.01431
384.2,0.0158
384.8,0.01675
385.4,0.01603
386,0.02196
386.6,0.03603
387.2,0.03801
387.8,0.05693
388.3,1
388.9,1
389.5,1
390.1,0.04702
390.7,0.02162
391.3,0.01898
391.9,0.01776
392.5,0.01589
393,0.01253
393.6,0.01254
394.2,0.01064
394.8,0.01009
395.4,0.01305
396,0.109
396.6,0.1441
397.2,0.01814
397.8,0.006437
398.3,0.005163
398.9,0.005751
399.5,0.004288
400.1,0.004689
400.7,0.01154
401.3,0.008818
401.9,0.02679
402.5,0.2782
403.1,0.1501
403.6,0.005329
404.2,0.00314
404.8,0.003909
405.4,0.003747
406,0.002607
406.6,0.002806
407.2,0.002689
407.8,0.002354
408.3,0.001932
408.9,0.001946
409.5,0.00237
410.1,0.002459
410.7,0.001627
411.3,0.003612
411.9,0.06842
412.5,0.05028
413,0.003438
413.6,0.003673
414.2,0.02147
414.8,0.01368
415.4,0.002662
416,0.003035
416.6,0.004501
417.2,0.003279
417.8,0.002529
418.3,0.003065
418.9,0.002249
419.5,0.001977
420.1,0.001188
420.7,0.000889
421.3,0.001091
421.9,0.001028
422.5,0.0005857
423,0.001094
423.6,0.001036
424.2,0.0008585
424.8,0.0009177
425.4,0.000931
426,0.0006391
426.6,0.001419
427.2,0.002432
427.7,0.0007736
428.3,0.001401
428.9,0.001452
429.5,0.07235
430.1,0.003325
430.7,0.002633
431.3,0.002397
431.9,0.003385
432.5,0.002148
433,0.002249
433.6,0.002136
434.2,0.002007
434.8,0.002067
435.4,0.002602
436,0.002236
436.6,0.002868
437.2,0.001536
437.8,0.001962
438.3,0.05638
438.9,0.08606
439.5,0.008891
440.1,0.003875
440.7,0.002886
441.3,0.005031
441.9,0.005046
442.5,0.003884
443.1,0.006841
443.7,0.02464
444.3,0.01534
444.8,0.008364
445.4,0.007374
446,0.01627
446.6,0.7836
447.2,1
447.8,0.8733
448.4,0.01725
