Begin Header
Date,01/03/2002 3:09:00
X-Label,Nanometers
Y-Label,Arbitrary
NumPoints,677
StartValue,350
EndValue,750
Steps,0,5
GaussFilter,0
NoiseFilter,True
AmplCorrection,True
DarkCorrection,True
AddCycles,1
Iterations,1
AutoExposure,False
MaxCycleTime,10
ExposureTime,200
CoolerFilter,False
CoolerTemp,296,1
End Header
nm,Value
350.1,0.03605
350.7,0.03415
351.3,0.03166
351.9,0.03192
352.5,0.02102
353.1,0.02352
353.7,0.03364
354.2,0.02075
354.8,0.02712
355.4,0.03388
356,0.03352
356.6,0.03785
357.2,0.02887
357.8,0.03285
358.4,0.02625
358.9,0.04045
359.5,0.01593
360.1,0.02992
360.7,0.04383
361.3,0.04332
361.9,0.02768
362.5,0.03839
363,0.0387
363.6,0.03749
364.2,0.02768
364.8,0.02839
365.4,0.02862
366,0.02756
366.6,0.01829
367.2,0.02665
367.7,0.03619
368.3,0.02339
368.9,0.01235
369.5,0.02278
370.1,0.0297
370.7,0.02125
371.3,0.02202
371.9,0.01515
372.4,0.02185
373,0.02196
373.6,0.02666
374.2,0.01056
374.8,0.01875
375.4,0.02262
376,0.02314
376.6,0.02582
377.2,0.01794
377.7,0.02331
378.3,0.01657
378.9,0.0159
379.5,0.01843
380.1,0.01883
380.7,0.02098
381.3,0.01937
381.9,0.02169
382.5,0.02227
383,0.02839
383.6,0.02216
384.2,0.02102
384.8,0.02161
385.4,0.01824
386,0.02004
386.6,0.02364
387.2,0.0239
387.8,0.02817
388.3,0.02255
388.9,0.02318
389.5,0.009735
390.1,0.007646
390.7,0.0159
391.3,0.01791
391.9,0.01515
392.5,0.006911
393,0.008867
393.6,0.01025
394.2,0.0113
394.8,0.01009
395.4,0.01013
396,0.02437
396.6,0.03191
397.2,0.02671
397.8,0.01785
398.3,0.01333
398.9,0.0132
399.5,0.01569
400.1,0.01921
400.7,0.01695
401.3,0.01978
401.9,0.01543
402.5,0.01624
403.1,0.01753
403.6,0.01777
404.2,0.0191
404.8,0.02215
405.4,0.01969
406,0.02184
406.6,0.02009
407.2,0.0193
407.8,0.02119
408.3,0.01048
408.9,0.01287
409.5,0.02714
410.1,0.06526
410.7,0.02641
411.3,0.01522
411.9,0.01513
412.5,0.01198
413,0.01658
413.6,0.01069
414.2,0.01215
414.8,0.01218
415.4,0.01657
416,0.01438
416.6,0.01255
417.2,0.0148
417.8,0.0135
418.3,0.01454
418.9,0.01284
419.5,0.01055
420.1,0.01084
420.7,0.01395
421.3,0.01198
421.9,0.01325
422.5,0.01339
423,0.01124
423.6,0.01304
424.2,0.01106
424.8,0.01456
425.4,0.01208
426,0.008809
426.6,0.009973
427.2,0.01018
427.7,0.01397
428.3,0.01282
428.9,0.01357
429.5,0.08378
430.1,0.01276
430.7,0.01255
431.3,0.01249
431.9,0.01243
432.5,0.00982
433,0.01965
433.6,0.1843
434.2,0.2379
434.8,0.02381
435.4,0.01594
436,0.012
436.6,0.01439
437.2,0.01056
437.8,0.009296
438.3,0.01191
438.9,0.01108
439.5,0.01215
440.1,0.01286
440.7,0.009806
441.3,0.01392
441.9,0.01421
442.5,0.01146
443.1,0.01222
443.7,0.006983
444.3,0.007245
444.8,0.009921
445.4,0.01244
446,0.01275
446.6,0.01336
447.2,0.01287
447.8,0.008008
448.4,0.009716
449,0.01104
449.6,0.01266
450.2,0.01465
450.8,0.01308
451.3,0.01344
451.9,0.012
452.5,0.01331
453.1,0.008571
453.7,0.008833
454.3,0.009882
454.9,0.01228
455.5,0.008957
456.1,0.01083
456.7,0.01095
457.2,0.0136
457.8,0.01154
458.4,0.01156
459,0.01216
459.6,0.004035
460.2,0.004579
460.8,0.005552
461.4,0.00465
462,0.005609
462.6,0.01206
463.2,0.01589
463.7,0.01174
464.3,0.008366
464.9,0.008227
465.5,0.007278
466.1,0.01047
466.7,0.009553
467.3,0.0104
467.9,0.01344
468.5,0.01293
469.1,0.008356
469.7,0.008523
470.2,0.009153
470.8,0.009262
471.4,0.00839
472,0.008652
472.6,0.00786
473.2,0.01039
473.8,0.003472
474.4,0.006367
475,0.007002
475.6,0.007531
476.2,0.009501
476.7,0.006067
477.3,0.005518
477.9,0.00497
478.5,0.008709
479.1,0.0112
479.7,0.007426
480.3,0.009639
480.9,0.01195
481.5,0.008366
482.1,0.009391
482.7,0.009262
483.2,0.01244
483.8,0.01235
484.4,0.01277
485,0.01827
485.6,0.3942
486.2,1.273
486.8,0.4212
487.4,0.0274
488,0.02105
488.6,0.01489
489.1,0.01508
489.7,0.005213
490.3,0.009057
490.9,0.005824
491.5,0.003453
492.1,0.008972
492.7,0.01314
493.3,0.01435
493.9,0.01464
494.5,0.0135
495.1,0.01365
495.6,0.008838
496.2,0.006057
496.8,0.008881
497.4,0.01033
498,0.009177
498.6,0.005733
499.2,0.004197
499.8,0.005041
500.4,0.002929
