Begin Header
Date,01/03/2002 2:23:00
X-Label,Nanometers
Y-Label,Arbitrary
NumPoints,424
StartValue,350
EndValue,600
Steps,0,5
GaussFilter,0
NoiseFilter,True
AmplCorrection,True
DarkCorrection,True
AddCycles,1
Iterations,1
AutoExposure,False
MaxCycleTime,10
ExposureTime,100
CoolerFilter,False
CoolerTemp,295,3
End Header
nm,Value
350.1,0.0174
350.7,-0.04017
351.3,-0.005504
351.9,0.0001908
352.5,0.01381
353.1,0.02013
353.7,0.02923
354.2,0.02885
354.8,0.03156
355.4,0.02509
356,-0.003692
356.6,-0.03231
357.2,0.00475
357.8,0.01939
358.4,-0.004865
358.9,0.03806
359.5,0.03808
360.1,0.04056
360.7,0.03221
361.3,0.03208
361.9,0.03513
362.5,0.03639
363,0.03462
363.6,0.05383
364.2,1.935
364.8,9.025
365.4,3.956
366,1.151
366.6,0.5669
367.2,0.104
367.7,0.06609
368.3,0.05549
368.9,0.04155
369.5,0.0454
370.1,0.02844
370.7,-0.001717
371.3,0.003281
371.9,0.021
372.4,0.01576
373,0.01007
373.6,0.01581
374.2,0.01418
374.8,0.01551
375.4,0.001984
376,0.009978
376.6,0.009882
377.2,0.002499
377.7,0.0006296
378.3,0.003978
378.9,0.0062
379.5,0.01335
380.1,-0.002881
380.7,-0.0001049
381.3,0.00621
381.9,0.003959
382.5,0.01329
383,6.677E-05
383.6,-0.00104
384.2,9.539E-06
384.8,-0.0031
385.4,-0.002604
386,0.008137
386.6,0.00311
387.2,0.007555
387.8,0.008623
388.3,-0.0002385
388.9,0.003987
389.5,0.01747
390.1,0.02258
390.7,0.01757
391.3,0.0178
391.9,0.01269
392.5,0.01305
393,0.002633
393.6,0.00227
394.2,0.003091
394.8,0.0123
395.4,0.01794
396,0.02534
396.6,0.01399
397.2,0.0183
397.8,0.02457
398.3,0.02619
398.9,0.02974
399.5,0.02389
400.1,0.01612
400.7,0.01991
401.3,0.01477
401.9,0.01553
402.5,0.02249
403.1,0.02781
403.6,0.1036
404.2,4.193
404.8,5.415
405.4,0.373
406,0.04892
406.6,0.032
407.2,0.1493
407.8,0.4332
408.3,0.1425
408.9,-0.0006964
409.5,0.004722
410.1,0.008394
410.7,0.009062
411.3,0.01311
411.9,0.007326
412.5,0.01138
413,0.00972
413.6,0.00227
414.2,0.0107
414.8,0.005504
415.4,0.03084
416,0.0598
416.6,0.03194
417.2,0.002213
417.8,0.01074
418.3,0.01747
418.9,0.02535
419.5,0.04972
420.1,0.05588
420.7,0.02824
421.3,0.02632
421.9,0.01884
422.5,0.01626
423,0.0189
423.6,0.01477
424.2,0.008671
424.8,0.004512
425.4,0.01258
426,0.01236
426.6,0.03967
427.2,0.04251
427.7,0.02044
428.3,0.02115
428.9,0.01678
429.5,0.028
430.1,0.02971
430.7,0.02459
431.3,0.02335
431.9,0.02753
432.5,0.02678
433,0.05571
433.6,0.09476
434.2,0.1557
434.8,0.3115
435.4,10
436,10
436.6,3.161
437.2,0.08641
437.8,0.0535
438.3,0.04422
438.9,0.03172
439.5,0.02867
440.1,0.01801
440.7,0.01545
441.3,0.0135
441.9,0.01638
442.5,0.01653
443.1,0.009692
443.7,0.01003
444.3,0.0125
444.8,0.01326
445.4,0.01137
446,0.01812
446.6,0.01116
447.2,0.006153
447.8,0.003434
448.4,0.007603
449,0.008995
449.6,0.01038
450.2,0.01114
450.8,0.01447
451.3,0.008537
451.9,0.01638
452.5,0.009596
453.1,0.01726
453.7,-0.001698
454.3,0.007774
454.9,0.007383
455.5,0.01522
456.1,0.01099
456.7,0.005514
457.2,0.007088
457.8,0.007708
458.4,0.01255
459,0.009549
459.6,0.005475
460.2,0.007479
460.8,0.01195
461.4,0.009615
462,0.008805
462.6,0.00911
463.2,-0.001517
463.7,-0.001984
464.3,-0.006544
464.9,-0.007078
465.5,-0.001526
466.1,0.001908
466.7,7.631E-05
467.3,-0.004607
467.9,0.001956
468.5,0.000124
469.1,0.009673
469.7,0.005056
470.2,0.00724
470.8,0.007536
471.4,0.01321
472,0.00206
472.6,0.006343
473.2,0.004264
473.8,0.00869
474.4,0.01299
475,0.008919
475.6,0.0116
476.2,0.01093
476.7,0.007164
477.3,0.00682
477.9,0.0138
478.5,-0.0004579
479.1,-0.00476
479.7,2.862E-05
480.3,0.01078
480.9,0.009472
481.5,0.001956
482.1,0.002165
482.7,0.004588
483.2,0.009873
483.8,0.0009444
484.4,0.001164
485,0.001631
485.6,0.001192
486.2,0.002146
486.8,0.01007
487.4,0.009301
488,0.001307
488.6,0.007154
489.1,0.001393
489.7,0.002948
490.3,0.001116
490.9,0.02019
491.5,0.05819
492.1,0.04072
492.7,0.01656
493.3,0.009444
493.9,0.01121
494.5,0.007183
495.1,0.004016
495.6,0.001669
496.2,0.0009348
496.8,0.0002671
497.4,0.01088
498,0.009301
498.6,0.001269
