Begin Header
Date,01/03/2002 2:57:00
X-Label,Nanometers
Y-Label,Arbitrary
NumPoints,338
StartValue,550
EndValue,750
Steps,0,5
GaussFilter,0
NoiseFilter,True
AmplCorrection,True
DarkCorrection,True
AddCycles,1
Iterations,1
AutoExposure,False
MaxCycleTime,10
ExposureTime,20
CoolerFilter,False
CoolerTemp,296
End Header
nm,Value
550,-0.02919
550.6,-0.01712
551.2,0.01436
551.8,0.006725
552.4,-0.01335
553,-0.02762
553.6,-0.0006677
554.2,0.006677
554.8,0.01302
555.4,0.04135
555.9,-0.01798
556.5,-0.009348
557.1,-0.01851
557.7,-0.0249
558.3,-0.002432
558.9,-0.005485
559.5,0.01736
560.1,0.05394
560.7,0.05165
561.3,0.02452
561.9,0.01855
562.5,0.04288
563.1,0.0166
563.7,0.0113
564.3,-0.008394
564.8,0.02733
565.4,0.05218
566,0.00725
566.6,-0.0206
567.2,0.01631
567.8,0.01259
568.4,0.01584
569,0.01669
569.6,0.01693
570.2,-0.01068
570.8,0.009396
571.4,0.00663
572,0.004913
572.6,0.002766
573.2,-0.003196
573.7,-0.03777
574.3,0.05165
574.9,0.1651
575.5,0.1736
576.1,0.553
576.7,0.5282
577.3,0.08928
577.9,0.01564
578.5,-0.01865
579.1,-0.0008108
579.7,0.09978
580.3,0.1062
580.9,0.06243
581.5,0.1418
582.1,0.2783
582.6,0.1524
583.2,0.07836
583.8,0.13
584.4,1.084
585,22.19
585.6,20.41
586.2,1.866
586.8,0.3599
587.4,0.7818
588,7.873
588.6,6.548
589.2,0.5931
589.8,0.3137
590.4,0.4173
590.9,0.263
591.5,0.2249
592.1,0.1819
592.7,0.1534
593.3,0.2225
593.9,5.719
594.5,13.25
595.1,5.661
595.7,0.4303
596.3,0.2647
596.9,0.953
597.5,4.294
598.1,2.175
598.7,0.4115
599.3,0.1331
599.8,0.1201
600.4,0.05924
601,0.09071
601.6,0.08943
602.2,0.3729
602.8,4.307
603.4,3.465
604,0.3832
604.6,0.1994
605.2,0.1535
605.8,0.1643
606.4,0.2844
607,7.995
607.6,12.02
608.2,3.78
608.7,4.065
609.3,16.59
609.9,18.2
610.5,1.993
611.1,0.2077
611.7,0.1698
612.3,0.5025
612.9,1.027
613.5,2.551
614.1,31.8
614.7,28.16
615.3,2.647
615.9,5.412
616.5,8.527
617.1,2.945
617.6,0.361
618.2,0.2902
618.8,0.3045
619.4,0.1892
620,0.2023
620.6,0.2285
621.2,5.408
621.8,9.57
622.4,3.408
623,0.2756
623.6,0.1422
624.2,0.163
624.8,0.179
625.4,0.2389
626,3.782
626.5,19.59
627.1,10.79
627.7,0.9405
628.3,0.27
628.9,0.2646
629.5,1.111
630.1,6.238
630.7,8.884
631.3,1.807
631.9,0.2922
632.5,0.9653
633.1,27.7
633.7,37.44
634.3,5.992
634.9,0.6105
635.4,0.4462
636,0.3968
636.6,0.3231
637.2,0.4742
637.8,20.66
638.4,29.18
639,9.845
639.6,28.58
640.2,50
640.8,38.03
641.4,2.551
642,0.4524
642.6,0.3604
643.2,0.2977
643.8,0.1007
644.3,0.1825
644.9,0.1728
645.5,0.1268
646.1,0.1476
646.7,0.1589
647.3,0.1989
647.9,0.2364
648.5,0.1838
649.1,0.3793
649.7,1.294
650.3,33.71
650.9,44.82
651.5,7.515
652.1,1.505
652.6,5.606
653.2,14.45
653.8,7.244
654.4,0.8191
655,0.1408
655.6,0.1711
656.2,0.1156
656.8,0.07464
657.4,0.0786
658,0.07278
658.6,0.2489
659.2,4.5
659.8,19.76
660.4,11.13
661,1.096
661.5,0.3129
662.1,0.2098
662.7,0.09811
663.3,0.1409
663.9,0.1155
664.5,0.1284
665.1,0.1507
665.7,0.1356
666.3,0.3092
666.9,1.56
667.5,30.79
668.1,25.25
668.7,6.158
669.3,0.6444
669.9,0.2652
670.4,0.3224
671,8.184
671.6,21.2
672.2,11.7
672.8,1.205
673.4,0.2569
674,0.1212
674.6,0.13
675.2,0.02218
675.8,-0.03501
676.4,-0.06281
677,-0.00911
677.6,-0.001097
678.2,0.1189
678.8,0.0187
679.3,0.06715
679.9,0.06019
680.5,0.0589
681.1,0.05599
681.7,0.05103
682.3,0.03453
682.9,0.05256
683.5,-0.01502
684.1,0.1072
684.7,0.1865
685.3,0.1113
685.9,0.1113
686.5,0.0361
687.1,0.06653
687.7,0.03744
688.2,0.1136
688.8,0.1123
689.4,0.03682
690,0.157
690.6,0.1363
691.2,0.2258
691.8,0.7433
692.4,22.08
693,31.4
693.6,11.46
694.2,1.297
694.8,0.2052
695.4,0.209
696,0.2271
696.6,0.1805
697.1,0.2199
697.7,0.1216
698.3,0.1197
698.9,0.1636
699.5,0.1727
700.1,0.1974
700.7,0.2456
701.3,0.6051
701.9,3
702.5,31.59
703.1,50
703.7,50
704.3,6.63
704.9,1.5
705.5,1.03
706,0.9335
