Distance_(pixels),Gray_Value
0,176.000
1,175.000
2,175.333
3,175.333
4,176.333
5,176.333
6,176.333
7,175.333
8,175.333
9,175.333
10,175.000
11,174.333
12,174.333
13,174.333
14,173.333
15,172.667
16,171.667
17,171.667
18,172.667
19,168.667
20,168.667
21,165.667
22,164.667
23,160.667
24,155.000
25,163.000
26,155.333
27,129.333
28,72.000
29,30.000
30,25.333
31,17.333
32,9.667
33,17.000
34,14.667
35,11.667
36,10.000
37,11.000
38,12.000
39,12.000
40,11.000
41,12.000
42,13.000
43,12.000
44,12.000
45,12.000
46,13.000
47,12.000
48,11.000
49,10.000
50,13.000
51,14.000
52,18.000
53,26.000
54,33.667
55,47.667
56,105.000
57,151.000
58,155.333
59,164.333
60,165.333
61,162.333
62,165.000
63,168.667
64,165.667
65,163.667
66,163.667
67,163.667
68,164.667
69,166.667
70,165.667
71,163.667
72,162.667
73,162.667
74,162.667
75,165.667
76,120.667
77,57.333
78,32.333
79,26.000
80,16.000
81,13.333
82,10.667
83,9.667
84,9.667
85,10.667
86,10.667
87,11.333
88,10.333
89,10.333
90,11.333
91,12.333
92,12.333
93,10.333
94,11.000
95,11.000
96,10.000
97,8.000
98,10.333
99,13.333
100,20.000
101,38.667
102,39.333
103,48.667
104,116.667
105,162.333
106,157.333
107,156.333
108,157.333
109,162.333
110,164.667
111,165.667
112,164.667
113,164.667
114,164.667
115,165.667
116,165.667
117,165.667
118,163.667
119,162.667
120,162.333
121,162.333
122,165.333
123,169.333
124,127.333
125,81.333
126,34.667
127,36.667
128,23.667
129,18.667
130,14.333
131,14.333
132,14.333
133,14.333
134,12.667
135,11.667
136,10.667
137,10.667
138,12.667
139,11.667
140,11.667
141,11.667
142,11.333
143,12.333
144,11.333
145,11.333
146,13.333
147,12.667
148,16.000
149,17.000
150,25.000
151,38.000
152,39.333
153,80.667
154,121.333
155,153.333
156,153.667
157,151.667
158,160.667
159,164.667
160,168.667
161,162.667
162,167.667
163,170.667
164,169.667
165,169.667
166,172.667
167,171.667
168,169.667
169,171.667
170,172.667
171,172.667
