Distance_(pixels),Gray_Value
0,173.333
1,174.333
2,175.333
3,174.333
4,174.333
5,175.333
6,175.333
7,174.333
8,175.667
9,174.333
10,173.333
11,172.333
12,170.000
13,168.667
14,168.667
15,170.667
16,169.000
17,168.000
18,163.000
19,162.667
20,157.667
21,153.667
22,149.667
23,134.667
24,111.667
25,78.333
26,51.333
27,36.667
28,21.000
29,15.000
30,17.667
31,15.667
32,12.333
33,11.333
34,10.333
35,10.333
36,11.333
37,13.333
38,13.333
39,13.333
40,10.667
41,13.667
42,11.667
43,11.667
44,14.667
45,11.667
46,8.667
47,11.667
48,26.667
49,46.667
50,74.667
51,106.667
52,133.667
53,148.667
54,151.667
55,150.667
56,155.333
57,156.667
58,157.667
59,158.667
60,160.667
61,162.333
62,161.333
63,160.333
64,156.333
65,156.333
66,156.333
67,156.333
68,144.333
69,124.333
70,90.333
71,44.333
72,46.000
73,40.333
74,22.667
75,14.667
76,12.000
77,9.000
78,12.667
79,13.333
80,10.667
81,10.667
82,10.667
83,10.667
84,11.667
85,11.667
86,10.667
87,9.667
88,14.333
89,12.333
90,13.333
91,16.667
92,26.667
93,33.667
94,59.667
95,108.333
96,131.667
97,142.333
98,153.333
99,157.667
100,160.667
101,160.667
102,159.667
103,159.667
104,158.333
105,160.333
106,160.333
107,158.667
108,157.667
109,158.667
110,160.667
111,161.667
112,162.667
113,138.667
114,114.333
115,86.000
116,62.000
117,46.000
118,29.667
119,22.667
120,16.667
121,14.667
122,14.667
123,13.667
124,10.667
125,12.667
126,13.667
127,11.667
128,12.667
129,13.667
130,13.333
131,14.333
132,15.000
133,11.000
134,8.000
135,9.000
136,13.000
137,18.000
138,35.000
139,49.000
140,81.667
141,115.667
142,146.000
143,146.667
144,148.667
145,154.667
146,158.667
147,161.000
148,165.667
149,167.667
150,167.667
151,168.667
152,169.000
153,168.000
154,168.667
155,169.667
156,170.667
157,171.667
158,171.000
159,171.000
160,171.667
161,171.667
162,170.667
