Distance_(pixels),Gray_Value
0,175.333
1,176.333
2,175.333
3,174.333
4,174.333
5,174.333
6,175.333
7,176.000
8,175.000
9,173.000
10,173.000
11,173.000
12,174.000
13,175.000
14,175.000
15,175.667
16,168.667
17,171.667
18,168.667
19,163.667
20,162.667
21,161.667
22,166.667
23,159.667
24,124.667
25,71.667
26,24.667
27,29.667
28,21.333
29,18.333
30,14.333
31,15.667
32,13.667
33,12.667
34,13.667
35,13.667
36,12.667
37,12.667
38,13.667
39,12.667
40,12.667
41,12.667
42,12.667
43,13.667
44,14.667
45,12.667
46,9.667
47,13.000
48,12.667
49,21.667
50,25.667
51,33.333
52,45.000
53,94.000
54,150.000
55,162.667
56,159.333
57,158.333
58,163.333
59,165.000
60,164.667
61,163.667
62,164.667
63,165.667
64,165.667
65,166.667
66,166.000
67,164.333
68,164.333
69,168.667
70,172.667
71,167.667
72,147.667
73,122.667
74,82.333
75,49.667
76,27.667
77,22.667
78,10.000
79,10.667
80,10.667
81,10.667
82,11.667
83,12.667
84,12.667
85,12.667
86,12.667
87,11.667
88,11.667
89,10.667
90,11.667
91,12.667
92,12.667
93,10.667
94,8.667
95,12.333
96,12.333
97,18.667
98,25.667
99,30.333
100,42.333
101,112.667
102,161.667
103,156.667
104,156.333
105,157.333
106,161.333
107,165.667
108,166.667
109,164.667
110,162.667
111,164.333
112,165.333
113,164.667
114,164.667
115,164.667
116,163.667
117,162.667
118,162.667
119,168.333
120,164.333
121,146.667
122,99.667
123,48.333
124,27.333
125,26.333
126,21.333
127,14.333
128,14.333
129,14.333
130,13.333
131,12.333
132,12.333
133,13.333
134,14.333
135,10.667
136,10.667
137,10.667
138,10.667
139,11.667
140,11.667
141,11.667
142,11.333
143,9.000
144,14.333
145,16.000
146,19.000
147,27.333
148,35.667
149,34.667
150,66.667
151,118.333
152,147.333
153,151.667
154,159.667
155,171.667
156,170.667
157,172.667
158,169.667
159,168.667
160,168.667
161,168.667
162,168.667
163,169.667
164,170.667
165,172.667
166,173.667
167,171.667
168,171.667
169,171.667
