Distance_(pixels),Gray_Value
0,179.333
1,178.333
2,180.333
3,179.333
4,177.333
5,178.333
6,178.333
7,175.333
8,172.000
9,170.333
10,165.333
11,137.333
12,115.333
13,97.000
14,66.000
15,57.000
16,60.667
17,69.667
18,84.667
19,100.667
20,113.667
21,115.667
22,99.667
23,76.667
24,61.333
25,47.333
26,37.000
27,38.000
28,53.000
29,81.000
30,108.000
31,119.000
32,114.000
33,107.000
34,92.000
35,65.000
36,49.000
37,49.000
38,50.000
39,57.000
40,88.000
41,120.000
42,143.000
43,152.667
44,163.667
45,165.667
46,160.667
47,160.333
48,149.667
49,132.667
50,112.667
51,76.667
52,57.667
53,61.667
54,69.333
55,89.333
56,111.667
57,120.667
58,116.667
59,106.667
60,93.000
61,69.000
62,49.000
63,50.000
64,68.667
65,89.667
66,103.667
67,107.000
68,103.667
69,89.667
70,65.667
71,50.667
72,51.667
73,56.667
74,83.667
75,116.667
76,137.667
77,155.000
78,164.000
79,159.000
80,163.667
81,160.667
82,164.667
83,142.667
84,110.667
85,84.667
86,62.667
87,64.667
88,70.667
89,86.667
90,107.667
91,109.667
92,103.000
93,87.000
94,65.000
95,57.000
96,57.000
97,75.000
98,96.000
99,108.000
100,107.000
101,90.000
102,70.000
103,58.000
104,60.667
105,72.667
106,104.667
107,127.667
108,143.667
109,159.667
110,161.667
111,155.667
112,161.000
113,154.000
114,126.000
115,103.000
116,72.667
117,68.667
118,73.667
119,77.667
120,86.667
121,89.667
122,96.667
123,86.000
124,67.000
125,59.333
126,67.333
127,87.667
128,96.667
129,96.667
130,99.667
131,82.667
132,67.667
133,60.667
134,56.667
135,74.667
136,106.667
137,128.667
138,141.667
139,137.667
140,131.667
141,118.667
142,95.667
143,77.667
144,55.667
145,58.667
146,84.667
147,83.667
148,84.667
149,75.667
150,67.667
151,66.667
152,71.667
153,84.667
154,94.667
155,93.667
156,86.667
157,77.000
158,70.000
159,67.000
160,96.667
161,130.000
162,158.000
163,167.667
164,171.333
165,173.000
166,172.000
167,173.000
168,172.333
169,175.333
170,175.333
171,174.333
172,175.000
173,177.000
